File Path,PID,Runtime,# DAGs,# Errors,Last Runtime,Last Run
/opt/airflow/dags/__pycache__/get_dags_inventary.py,603,0.00s,1,0,2.99s,2023-11-23T18:22:00
/opt/airflow/dags/__pycache__/get_dags_inventary.py,1035,0.01s,1,0,6.72s,2023-11-23T18:30:04
/opt/airflow/dags/__pycache__/get_dags_inventary.py,240,0.01s,0,1,7.82s,2023-11-23T19:09:14
/opt/airflow/dags/__pycache__/get_dags_inventary.py,302,0.50s,1,0,1.80s,2023-11-23T19:10:26
/opt/airflow/dags/__pycache__/get_dags_inventary.py,386,1.05s,1,0,1.24s,2023-11-23T19:11:55
/opt/airflow/dags/__pycache__/get_dags_inventary.py,1026,3.07s,1,0,1.81s,2023-11-23T19:22:47
/opt/airflow/dags/__pycache__/get_dags_inventary.py,1168,0.61s,1,0,4.40s,2023-11-23T19:25:51
/opt/airflow/dags/get_logs_inventary.py,72,0.00s,0,1,0.22s,2023-11-25T17:40:57
/opt/airflow/dags/get_logs_inventary.py,99,0.01s,0,1,0.06s,2023-11-25T17:41:27
/opt/airflow/dags/get_logs_inventary.py,126,0.01s,0,1,0.05s,2023-11-25T17:41:58
/opt/airflow/dags/get_logs_inventary.py,163,0.01s,0,1,0.05s,2023-11-25T17:42:28
/opt/airflow/dags/get_logs_inventary.py,193,0.01s,0,1,0.06s,2023-11-25T17:42:58
/opt/airflow/dags/get_logs_inventary.py,220,0.01s,0,1,0.09s,2023-11-25T17:43:28
/opt/airflow/dags/get_logs_inventary.py,247,0.00s,0,1,0.09s,2023-11-25T17:43:59
/opt/airflow/dags/get_logs_inventary.py,274,0.01s,0,1,0.05s,2023-11-25T17:44:29
/opt/airflow/dags/get_logs_inventary.py,301,0.01s,0,1,0.06s,2023-11-25T17:44:59
/opt/airflow/dags/get_logs_inventary.py,329,0.01s,0,1,0.06s,2023-11-25T17:45:29
/opt/airflow/dags/get_logs_inventary.py,368,0.01s,0,1,0.08s,2023-11-25T17:45:59
/opt/airflow/dags/get_logs_inventary.py,395,0.01s,0,1,0.06s,2023-11-25T17:46:30
/opt/airflow/dags/get_logs_inventary.py,422,0.01s,0,1,0.06s,2023-11-25T17:47:00
/opt/airflow/dags/get_logs_inventary.py,458,0.01s,0,1,0.05s,2023-11-25T17:47:30
/opt/airflow/dags/get_logs_inventary.py,488,0.00s,0,1,0.06s,2023-11-25T17:48:00
/opt/airflow/dags/get_logs_inventary.py,515,0.01s,0,1,0.06s,2023-11-25T17:48:30
/opt/airflow/dags/get_logs_inventary.py,542,0.00s,0,1,0.07s,2023-11-25T17:49:01
/opt/airflow/dags/get_logs_inventary.py,581,0.00s,0,1,0.06s,2023-11-25T17:49:31
/opt/airflow/dags/get_logs_inventary.py,608,0.01s,0,1,0.05s,2023-11-25T17:50:01
/opt/airflow/dags/get_logs_inventary.py,635,0.01s,0,1,0.06s,2023-11-25T17:50:31
