File Path,Timestamp,Info
/opt/airflow/dags/__pycache__/get_dags_inventary.py     45  0.05s             0           0,2023-11-23T17:38:33.212+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.40s           2023-11-23T17:38:13,2023-11-23T17:38:53.341+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.18s           2023-11-23T17:38:44,2023-11-23T17:39:33.662+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.12s           2023-11-23T17:39:14,2023-11-23T17:39:53.837+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.10s           2023-11-23T17:39:44,2023-11-23T17:40:34.060+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.50s           2023-11-23T17:40:15,2023-11-23T17:40:55.040+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.22s           2023-11-23T17:40:48,2023-11-23T17:41:15.144+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.12s           2023-11-23T17:41:19,2023-11-23T17:41:55.432+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.10s           2023-11-23T17:41:49,2023-11-23T17:42:15.541+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.19s           2023-11-23T17:42:19,2023-11-23T17:42:55.894+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.10s           2023-11-23T17:42:49,2023-11-23T17:43:16.019+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.10s           2023-11-23T17:43:20,2023-11-23T17:43:56.337+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.20s           2023-11-23T17:43:50,2023-11-23T17:44:16.450+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.21s           2023-11-23T17:44:20,2023-11-23T17:44:56.978+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.17s           2023-11-23T17:44:51,2023-11-23T17:45:17.067+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.22s           2023-11-23T17:45:21,2023-11-23T17:45:57.606+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.11s           2023-11-23T17:45:51,2023-11-23T17:46:17.710+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.18s           2023-11-23T17:46:21,2023-11-23T17:46:58.070+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.20s           2023-11-23T17:46:52,2023-11-23T17:47:18.382+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  3.31s           2023-11-23T17:47:26,2023-11-23T17:47:59.404+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py     45  0.08s             0           0,2023-11-23T18:12:45.753+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  1.93s           2023-11-23T18:12:27,2023-11-23T18:13:05.897+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.62s           2023-11-23T18:12:58,2023-11-23T18:13:46.379+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.44s           2023-11-23T18:13:29,2023-11-23T18:14:06.494+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.68s           2023-11-23T18:14:00,2023-11-23T18:14:46.686+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.80s           2023-11-23T18:14:31,2023-11-23T18:15:06.778+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.40s           2023-11-23T18:15:01,2023-11-23T18:15:47.115+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.59s           2023-11-23T18:15:32,2023-11-23T18:16:07.296+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  1.79s           2023-11-23T18:16:04,2023-11-23T18:16:47.448+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.42s           2023-11-23T18:16:35,2023-11-23T18:17:08.120+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.64s           2023-11-23T18:17:03,2023-11-23T18:17:48.322+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.46s           2023-11-23T18:17:33,2023-11-23T18:18:08.850+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.41s           2023-11-23T18:18:04,2023-11-23T18:18:49.418+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.40s           2023-11-23T18:18:34,2023-11-23T18:19:09.538+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  2.77s           2023-11-23T18:19:07,2023-11-23T18:19:49.774+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.60s           2023-11-23T18:19:38,2023-11-23T18:20:09.863+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.51s           2023-11-23T18:20:08,2023-11-23T18:20:50.057+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.55s           2023-11-23T18:20:35,2023-11-23T18:21:10.194+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.62s           2023-11-23T18:21:27,2023-11-23T18:21:30.545+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  2.99s           2023-11-23T18:22:00,2023-11-23T18:22:10.781+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py    603  0.00s             1           0  2.99s           2023-11-23T18:22:00,2023-11-23T18:22:30.879+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.72s           2023-11-23T18:22:31,2023-11-23T18:23:11.343+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.53s           2023-11-23T18:23:01,2023-11-23T18:23:51.525+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.68s           2023-11-23T18:23:32,2023-11-23T18:24:11.628+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.91s           2023-11-23T18:24:03,2023-11-23T18:24:51.826+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.63s           2023-11-23T18:24:34,2023-11-23T18:25:12.020+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.85s           2023-11-23T18:25:07,2023-11-23T18:25:52.210+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.65s           2023-11-23T18:25:38,2023-11-23T18:26:12.300+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.67s           2023-11-23T18:26:09,2023-11-23T18:26:52.492+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.97s           2023-11-23T18:26:40,2023-11-23T18:27:12.535+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.90s           2023-11-23T18:27:11,2023-11-23T18:27:52.763+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.05s           2023-11-23T18:27:42,2023-11-23T18:28:12.877+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.11s           2023-11-23T18:28:14,2023-11-23T18:28:53.119+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.05s           2023-11-23T18:28:45,2023-11-23T18:29:13.410+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  11.23s          2023-11-23T18:29:26,2023-11-23T18:29:57.558+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  6.72s           2023-11-23T18:30:04,2023-11-23T18:30:17.794+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py   1035  0.01s             1           0  6.72s           2023-11-23T18:30:04,2023-11-23T18:30:37.927+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  15.11s          2023-11-23T18:30:49,2023-11-23T18:31:18.192+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.12s           2023-11-23T18:31:20,2023-11-23T18:31:38.900+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.42s           2023-11-23T18:31:52,2023-11-23T18:32:19.230+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.75s           2023-11-23T18:32:23,2023-11-23T18:32:39.338+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.58s           2023-11-23T18:32:53,2023-11-23T18:33:19.509+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.26s           2023-11-23T18:33:25,2023-11-23T18:33:40.158+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.57s           2023-11-23T18:33:56,2023-11-23T18:34:20.572+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.68s           2023-11-23T18:34:26,2023-11-23T18:34:40.655+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.79s           2023-11-23T18:34:57,2023-11-23T18:35:20.824+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.84s           2023-11-23T18:35:28,2023-11-23T18:35:41.084+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  0.81s           2023-11-23T18:35:59,2023-11-23T18:36:21.271+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py     45  0.08s             0           0,2023-11-23T19:06:33.302+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  2.07s           2023-11-23T19:06:15,2023-11-23T19:06:53.446+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  1.62s           2023-11-23T19:06:47,2023-11-23T19:07:33.633+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.81s           2023-11-23T19:07:17,2023-11-23T19:07:53.726+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.92s           2023-11-23T19:08:05,2023-11-23T19:08:33.846+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.53s           2023-11-23T19:08:36,2023-11-23T19:08:54.178+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  7.82s           2023-11-23T19:09:14,2023-11-23T19:09:34.428+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py    240  0.01s             0           1  7.82s           2023-11-23T19:09:14,2023-11-23T19:09:54.598+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.64s           2023-11-23T19:09:45,2023-11-23T19:10:35.042+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py    302  0.50s             1           0  1.80s           2023-11-23T19:10:26,2023-11-23T19:10:55.186+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  8.59s           2023-11-23T19:10:53,2023-11-23T19:11:35.411+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.26s           2023-11-23T19:11:24,2023-11-23T19:11:55.534+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py    386  1.05s             1           0  1.24s           2023-11-23T19:11:55,2023-11-23T19:12:36.388+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  2.45s           2023-11-23T19:12:32,2023-11-23T19:12:56.905+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.20s           2023-11-23T19:12:57,2023-11-23T19:13:37.101+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  2.96s           2023-11-23T19:13:30,2023-11-23T19:13:57.218+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.58s           2023-11-23T19:14:01,2023-11-23T19:14:37.464+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.59s           2023-11-23T19:14:33,2023-11-23T19:14:57.568+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  2.32s           2023-11-23T19:15:05,2023-11-23T19:15:38.049+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.38s           2023-11-23T19:15:37,2023-11-23T19:15:58.132+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.81s           2023-11-23T19:16:09,2023-11-23T19:16:38.359+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.56s           2023-11-23T19:16:40,2023-11-23T19:16:58.520+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  2.51s           2023-11-23T19:16:54,2023-11-23T19:17:38.728+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  3.44s           2023-11-23T19:17:36,2023-11-23T19:17:58.814+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  2.56s           2023-11-23T19:18:00,2023-11-23T19:18:39.510+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.63s           2023-11-23T19:18:32,2023-11-23T19:18:59.589+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.98s           2023-11-23T19:19:04,2023-11-23T19:19:39.767+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.84s           2023-11-23T19:19:36,2023-11-23T19:19:59.860+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.89s           2023-11-23T19:20:16,2023-11-23T19:20:20.288+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  1.57s           2023-11-23T19:20:25,2023-11-23T19:21:01.068+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.77s           2023-11-23T19:20:56,2023-11-23T19:21:21.150+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  2.58s           2023-11-23T19:21:24,2023-11-23T19:22:01.654+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  3.35s           2023-11-23T19:22:16,2023-11-23T19:22:21.850+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  1.81s           2023-11-23T19:22:47,2023-11-23T19:23:02.036+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py   1026  3.07s             1           0  1.81s           2023-11-23T19:22:47,2023-11-23T19:23:22.239+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  6.15s           2023-11-23T19:23:24,2023-11-23T19:24:02.471+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  7.93s           2023-11-23T19:24:02,2023-11-23T19:24:22.690+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           1           0  8.35s           2023-11-23T19:24:41,2023-11-23T19:25:03.279+0000,Searching for files in /opt/airflow/dags
